Mod:Item:MetaData, Localized Name
minecraft:wool:2, Magenta Wool
minecraft:wool:3, Light Blue Wool
minecraft:wool:4, Yellow Wool
minecraft:wool:5, Lime Wool
minecraft:wool:6, Pink Wool
minecraft:wool:7, Gray Wool
minecraft:wool:8, Light Gray Wool
minecraft:wool:9, Cyan Wool
minecraft:wool:10, Purple Wool
minecraft:wool:11, Blue Wool
minecraft:wool:12, Brown Wool
minecraft:wool:13, Green Wool
minecraft:wool:14, Red Wool
minecraft:wool:15, Black Wool
minecraft:yellow_flower:0, Dandelion
minecraft:red_flower:0, Poppy
minecraft:red_flower:1, Blue Orchid
minecraft:red_flower:2, Allium
minecraft:red_flower:3, Azure Bluet
minecraft:red_flower:4, Red Tulip
minecraft:red_flower:5, Orange Tulip
minecraft:red_flower:6, White Tulip
minecraft:red_flower:7, Pink Tulip
minecraft:red_flower:8, Oxeye Daisy
minecraft:brown_mushroom, Mushroom
minecraft:red_mushroom, Mushroom
minecraft:gold_block, Block of Gold
minecraft:iron_block, Block of Iron
minecraft:stone_slab:0, Stone Slab
minecraft:stone_slab:1, Sandstone Slab
minecraft:stone_slab:3, Cobblestone Slab
minecraft:stone_slab:4, Bricks Slab
minecraft:stone_slab:5, Stone Bricks Slab
minecraft:stone_slab:6, Nether Brick Slab
minecraft:stone_slab:7, Quartz Slab
minecraft:brick_block, Bricks
minecraft:tnt, TNT
minecraft:bookshelf, Bookshelf
minecraft:mossy_cobblestone, Moss Stone
minecraft:obsidian, Obsidian
minecraft:torch, Torch
minecraft:fire, Fire
minecraft:mob_spawner:0, Monster Spawner
minecraft:oak_stairs, Oak Wood Stairs
minecraft:chest, Chest
minecraft:diamond_ore, Diamond Ore
minecraft:diamond_block, Block of Diamond
minecraft:crafting_table, Crafting Table
minecraft:farmland, Farmland
minecraft:furnace, Furnace
minecraft:lit_furnace, Furnace
minecraft:ladder, Ladder
minecraft:rail, Track
minecraft:stone_stairs, Stone Stairs
minecraft:lever, Lever
minecraft:stone_pressure_plate, Pressure Plate
minecraft:wooden_pressure_plate, Pressure Plate
minecraft:redstone_ore, Redstone Ore
minecraft:redstone_torch, Redstone Torch
minecraft:stone_button, Button
minecraft:snow_layer:0, Snow
minecraft:ice, Ice
minecraft:snow, Snow
minecraft:cactus, Cactus
minecraft:clay, Clay
minecraft:jukebox, Jukebox
minecraft:fence, Fence
minecraft:pumpkin, Pumpkin
minecraft:netherrack, Netherrack
minecraft:soul_sand, Soul Sand
minecraft:glowstone, Block of Scapolite
minecraft:portal, Portal
minecraft:lit_pumpkin, Jack o'Lantern
minecraft:stained_glass:0, White Stained Glass
minecraft:stained_glass:1, Orange Stained Glass
minecraft:stained_glass:2, Magenta Stained Glass
minecraft:stained_glass:3, Light Blue Stained Glass
minecraft:stained_glass:4, Yellow Stained Glass
minecraft:stained_glass:5, Lime Stained Glass
minecraft:stained_glass:6, Pink Stained Glass
minecraft:stained_glass:7, Gray Stained Glass
minecraft:stained_glass:8, Light Gray Stained Glass
minecraft:stained_glass:9, Cyan Stained Glass
minecraft:stained_glass:10, Purple Stained Glass
minecraft:stained_glass:11, Blue Stained Glass
minecraft:stained_glass:12, Brown Stained Glass
minecraft:stained_glass:13, Green Stained Glass
minecraft:stained_glass:14, Red Stained Glass
minecraft:stained_glass:15, Black Stained Glass
minecraft:trapdoor, Trapdoor
minecraft:monster_egg:0, Stone Monster Egg
minecraft:monster_egg:1, Cobblestone Monster Egg
minecraft:monster_egg:2, Stone Brick Monster Egg
minecraft:monster_egg:3, Mossy Stone Brick Monster Egg
minecraft:monster_egg:4, Cracked Stone Brick Monster Egg
minecraft:monster_egg:5, Chiseled Stone Brick Monster Egg
minecraft:stonebrick:0, Stone Bricks
minecraft:stonebrick:1, Mossy Stone Bricks
minecraft:stonebrick:2, Cracked Stone Bricks
minecraft:stonebrick:3, Chiseled Stone Bricks
minecraft:brown_mushroom_block, Mushroom
minecraft:red_mushroom_block, Mushroom
minecraft:iron_bars, Iron Bars
minecraft:glass_pane, Glass Pane
minecraft:melon_block, Melon
minecraft:vine, Vines
minecraft:fence_gate, Fence Gate
minecraft:brick_stairs, Brick Stairs
minecraft:stone_brick_stairs, Stone Brick Stairs
minecraft:mycelium, Mycelium
minecraft:waterlily, Lily Pad
minecraft:nether_brick, Nether Brick
minecraft:nether_brick_fence, Nether Brick Fence
minecraft:nether_brick_stairs, Nether Brick Stairs
minecraft:enchanting_table, Enchantment Table
minecraft:end_portal, tile.null.name
minecraft:end_portal_frame, End Portal
minecraft:end_stone, End Stone
minecraft:dragon_egg, Dragon Egg
minecraft:redstone_lamp, Redstone Lamp
minecraft:wooden_slab:0, Oak Wood Slab
minecraft:wooden_slab:1, Spruce Wood Slab
minecraft:wooden_slab:2, Birch Wood Slab
minecraft:wooden_slab:3, Jungle Wood Slab
minecraft:wooden_slab:4, Acacia Wood Slab
minecraft:wooden_slab:5, Dark Oak Wood Slab
minecraft:cocoa, Cocoa
minecraft:sandstone_stairs, Sandstone Stairs
minecraft:emerald_ore, Emerald Ore
minecraft:ender_chest, Ender Chest
minecraft:tripwire_hook, Tripwire Hook
minecraft:emerald_block, Block of Emerald
minecraft:spruce_stairs, Spruce Wood Stairs
minecraft:birch_stairs, Birch Wood Stairs
minecraft:jungle_stairs, Jungle Wood Stairs
minecraft:command_block, Command Block
minecraft:beacon, Beacon
minecraft:cobblestone_wall:0, Cobblestone Wall
minecraft:cobblestone_wall:1, Mossy Cobblestone Wall
minecraft:carrots, Carrots
minecraft:potatoes, Potatoes
minecraft:wooden_button, Button
minecraft:anvil:0, Anvil
minecraft:anvil:1, Slightly Damaged Anvil
minecraft:anvil:2, Very Damaged Anvil
minecraft:trapped_chest, Trapped Chest
minecraft:light_weighted_pressure_plate, Weighted Pressure Plate (Light)
minecraft:heavy_weighted_pressure_plate, Weighted Pressure Plate (Heavy)
minecraft:daylight_detector, Daylight Sensor
minecraft:redstone_block, Block of Redstone
minecraft:quartz_ore, Nether Quartz Ore
minecraft:hopper, Hopper
minecraft:quartz_block:0, Block of Quartz
minecraft:quartz_block:1, Chiseled Quartz Block
minecraft:quartz_block:2, Quartz Pillar Block
minecraft:quartz_stairs, Quartz Stairs
minecraft:activator_rail, Activator Track
minecraft:dropper, Dropper
minecraft:stained_hardened_clay:0, White Stained Clay
minecraft:stained_hardened_clay:1, Orange Stained Clay
minecraft:stained_hardened_clay:2, Magenta Stained Clay
minecraft:stained_hardened_clay:3, Light Blue Stained Clay
minecraft:stained_hardened_clay:4, Yellow Stained Clay
minecraft:stained_hardened_clay:5, Lime Stained Clay
minecraft:stained_hardened_clay:6, Pink Stained Clay
minecraft:stained_hardened_clay:7, Gray Stained Clay
minecraft:stained_hardened_clay:8, Light Gray Stained Clay
minecraft:stained_hardened_clay:9, Cyan Stained Clay
minecraft:stained_hardened_clay:10, Purple Stained Clay
minecraft:stained_hardened_clay:11, Blue Stained Clay
minecraft:stained_hardened_clay:12, Brown Stained Clay
minecraft:stained_hardened_clay:13, Green Stained Clay
minecraft:stained_hardened_clay:14, Red Stained Clay
minecraft:stained_hardened_clay:15, Black Stained Clay
minecraft:stained_glass_pane:0, White Stained Glass Pane
minecraft:stained_glass_pane:1, Orange Stained Glass Pane
minecraft:stained_glass_pane:2, Magenta Stained Glass Pane
minecraft:stained_glass_pane:3, Light Blue Stained Glass Pane
minecraft:stained_glass_pane:4, Yellow Stained Glass Pane
minecraft:stained_glass_pane:5, Lime Stained Glass Pane
minecraft:stained_glass_pane:6, Pink Stained Glass Pane
minecraft:stained_glass_pane:7, Gray Stained Glass Pane
minecraft:stained_glass_pane:8, Light Gray Stained Glass Pane
minecraft:stained_glass_pane:9, Cyan Stained Glass Pane
minecraft:stained_glass_pane:10, Purple Stained Glass Pane
minecraft:stained_glass_pane:11, Blue Stained Glass Pane
minecraft:stained_glass_pane:12, Brown Stained Glass Pane
minecraft:stained_glass_pane:13, Green Stained Glass Pane
minecraft:stained_glass_pane:14, Red Stained Glass Pane
minecraft:stained_glass_pane:15, Black Stained Glass Pane
minecraft:leaves2:0, Acacia Leaves
minecraft:leaves2:1, Dark Oak Leaves
minecraft:log2:0, Acacia Wood
minecraft:log2:1, Dark Oak Wood
minecraft:acacia_stairs, Acacia Wood Stairs
minecraft:dark_oak_stairs, Dark Oak Wood Stairs
terrafirmacraft:Ore1, Ore
terrafirmacraft:Ore2, Ore
terrafirmacraft:Ore3, Ore
terrafirmacraft:StoneIgIn:0, Granite
terrafirmacraft:StoneIgIn:1, Diorite
terrafirmacraft:StoneIgIn:2, Gabbro
terrafirmacraft:StoneIgEx:0, Rhyolite
terrafirmacraft:StoneIgEx:1, Basalt
terrafirmacraft:StoneIgEx:2, Andesite
terrafirmacraft:StoneIgEx:3, Dacite
minecraft:hay_block, Hay Bale
minecraft:carpet:0, Carpet
minecraft:carpet:1, Orange Carpet
minecraft:carpet:2, Magenta Carpet
minecraft:carpet:3, Light Blue Carpet
minecraft:carpet:4, Yellow Carpet
minecraft:carpet:5, Lime Carpet
minecraft:carpet:6, Pink Carpet
minecraft:carpet:7, Gray Carpet
minecraft:carpet:8, Light Gray Carpet
minecraft:carpet:9, Cyan Carpet
minecraft:carpet:10, Purple Carpet
minecraft:carpet:11, Blue Carpet
minecraft:carpet:12, Brown Carpet
minecraft:carpet:13, Green Carpet
minecraft:carpet:14, Red Carpet
minecraft:carpet:15, Black Carpet
minecraft:hardened_clay, Hardened Clay
minecraft:coal_block, Block of Coal
minecraft:packed_ice, Packed Ice
minecraft:double_plant:0, Sunflower
minecraft:double_plant:1, Lilac
minecraft:double_plant:2, Double Tallgrass
minecraft:double_plant:3, Large Fern
minecraft:double_plant:4, Rose Bush
minecraft:double_plant:5, Peony
terrafirmacraft:StoneSed:0, Shale
terrafirmacraft:StoneSed:1, Claystone
terrafirmacraft:StoneSed:2, Rock Salt
terrafirmacraft:StoneSed:3, Limestone
terrafirmacraft:StoneSed:4, Conglomerate
terrafirmacraft:StoneSed:5, Dolomite
terrafirmacraft:StoneSed:6, Chert
terrafirmacraft:StoneSed:7, Chalk
terrafirmacraft:StoneMM:0, Quartzite
terrafirmacraft:StoneMM:1, Slate
terrafirmacraft:StoneMM:2, Phyllite
terrafirmacraft:StoneMM:3, Schist
terrafirmacraft:StoneMM:4, Gneiss
terrafirmacraft:StoneMM:5, Marble
terrafirmacraft:StoneIgInCobble:0, Granite Cobblestone
terrafirmacraft:StoneIgInCobble:1, Diorite Cobblestone
terrafirmacraft:StoneIgInCobble:2, Gabbro Cobblestone
terrafirmacraft:StoneIgExCobble:0, Rhyolite Cobblestone
terrafirmacraft:StoneIgExCobble:1, Basalt Cobblestone
terrafirmacraft:StoneIgExCobble:2, Andesite Cobblestone
terrafirmacraft:StoneIgExCobble:3, Dacite Cobblestone
terrafirmacraft:StoneSedCobble:0, Shale Cobblestone
terrafirmacraft:StoneSedCobble:1, Claystone Cobblestone
terrafirmacraft:StoneSedCobble:2, Rock Salt Cobblestone
terrafirmacraft:StoneSedCobble:3, Limestone Cobblestone
terrafirmacraft:StoneSedCobble:4, Conglomerate Cobblestone
terrafirmacraft:StoneSedCobble:5, Dolomite Cobblestone
terrafirmacraft:StoneSedCobble:6, Chert Cobblestone
terrafirmacraft:StoneSedCobble:7, Chalk Cobblestone
terrafirmacraft:StoneMMCobble:0, Quartzite Cobblestone
terrafirmacraft:StoneMMCobble:1, Slate Cobblestone
terrafirmacraft:StoneMMCobble:2, Phyllite Cobblestone
terrafirmacraft:StoneMMCobble:3, Schist Cobblestone
terrafirmacraft:StoneMMCobble:4, Gneiss Cobblestone
terrafirmacraft:StoneMMCobble:5, Marble Cobblestone
terrafirmacraft:StoneIgInSmooth:0, Smooth Granite
terrafirmacraft:StoneIgInSmooth:1, Smooth Diorite
terrafirmacraft:StoneIgInSmooth:2, Smooth Gabbro
terrafirmacraft:StoneIgExSmooth:0, Smooth Rhyolite
terrafirmacraft:StoneIgExSmooth:1, Smooth Basalt
terrafirmacraft:StoneIgExSmooth:2, Smooth Andesite
terrafirmacraft:StoneIgExSmooth:3, Smooth Dacite
terrafirmacraft:StoneSedSmooth:0, Smooth Shale
terrafirmacraft:StoneSedSmooth:1, Smooth Claystone
terrafirmacraft:StoneSedSmooth:2, Smooth Rock Salt
terrafirmacraft:StoneSedSmooth:3, Smooth Limestone
terrafirmacraft:StoneSedSmooth:4, Smooth Conglomerate
terrafirmacraft:StoneSedSmooth:5, Smooth Dolomite
terrafirmacraft:StoneSedSmooth:6, Smooth Chert
terrafirmacraft:StoneSedSmooth:7, Smooth Chalk
terrafirmacraft:StoneMMSmooth:0, Smooth Quartzite
terrafirmacraft:StoneMMSmooth:1, Smooth Slate
terrafirmacraft:StoneMMSmooth:2, Smooth Phyllite
terrafirmacraft:StoneMMSmooth:3, Smooth Schist
terrafirmacraft:StoneMMSmooth:4, Smooth Gneiss
terrafirmacraft:StoneMMSmooth:5, Smooth Marble
terrafirmacraft:StoneIgInBrick:0, Granite Bricks
terrafirmacraft:StoneIgInBrick:1, Diorite Bricks
terrafirmacraft:StoneIgInBrick:2, Gabbro Bricks
terrafirmacraft:StoneIgExBrick:0, Rhyolite Bricks
terrafirmacraft:StoneIgExBrick:1, Basalt Bricks
terrafirmacraft:StoneIgExBrick:2, Andesite Bricks
terrafirmacraft:StoneIgExBrick:3, Dacite Bricks
terrafirmacraft:StoneSedBrick:0, Shale Bricks
terrafirmacraft:StoneSedBrick:1, Claystone Bricks
terrafirmacraft:StoneSedBrick:2, Rock Salt Bricks
terrafirmacraft:StoneSedBrick:3, Limestone Bricks
terrafirmacraft:StoneSedBrick:4, Conglomerate Bricks
terrafirmacraft:StoneSedBrick:5, Dolomite Bricks
terrafirmacraft:StoneSedBrick:6, Chert Bricks
terrafirmacraft:StoneSedBrick:7, Chalk Bricks
terrafirmacraft:StoneMMBrick:0, Quartzite Bricks
terrafirmacraft:StoneMMBrick:1, Slate Bricks
terrafirmacraft:StoneMMBrick:2, Phyllite Bricks
terrafirmacraft:StoneMMBrick:3, Schist Bricks
terrafirmacraft:StoneMMBrick:4, Gneiss Bricks
terrafirmacraft:StoneMMBrick:5, Marble Bricks
terrafirmacraft:Dirt:0, Dirt
terrafirmacraft:Dirt:1, Dirt
terrafirmacraft:Dirt:2, Dirt
terrafirmacraft:Dirt:3, Dirt
terrafirmacraft:Dirt:4, Dirt
terrafirmacraft:Dirt:5, Dirt
terrafirmacraft:Dirt:6, Dirt
terrafirmacraft:Dirt:7, Dirt
terrafirmacraft:Dirt:8, Dirt
terrafirmacraft:Dirt:9, Dirt
terrafirmacraft:Dirt:10, Dirt
terrafirmacraft:Dirt:11, Dirt
terrafirmacraft:Dirt:12, Dirt
terrafirmacraft:Dirt:13, Dirt
terrafirmacraft:Dirt:14, Dirt
terrafirmacraft:Dirt:15, Dirt
terrafirmacraft:Dirt2:0, Dirt
terrafirmacraft:Dirt2:1, Dirt
terrafirmacraft:Dirt2:2, Dirt
terrafirmacraft:Dirt2:3, Dirt
terrafirmacraft:Dirt2:4, Dirt
terrafirmacraft:Sand:0, Sand
terrafirmacraft:Sand:1, Sand
terrafirmacraft:Sand:2, Sand
terrafirmacraft:Sand:3, Sand
terrafirmacraft:Sand:4, Sand
terrafirmacraft:Sand:5, Sand
terrafirmacraft:Sand:6, Sand
terrafirmacraft:Sand:7, Sand
terrafirmacraft:Sand:8, Sand
terrafirmacraft:Sand:9, Sand
terrafirmacraft:Sand:10, Sand
terrafirmacraft:Sand:11, Sand
terrafirmacraft:Sand:12, Sand
terrafirmacraft:Sand:13, Sand
terrafirmacraft:Sand:14, Sand
terrafirmacraft:Sand:15, Sand
terrafirmacraft:Sand2:0, Sand
terrafirmacraft:Sand2:1, Sand
terrafirmacraft:Sand2:2, Sand
terrafirmacraft:Sand2:3, Sand
terrafirmacraft:Sand2:4, Sand
terrafirmacraft:Clay:0, Clay
terrafirmacraft:Clay:1, Clay
terrafirmacraft:Clay:2, Clay
terrafirmacraft:Clay:3, Clay
terrafirmacraft:Clay:4, Clay
terrafirmacraft:Clay:5, Clay
terrafirmacraft:Clay:6, Clay
terrafirmacraft:Clay:7, Clay
terrafirmacraft:Clay:8, Clay
terrafirmacraft:Clay:9, Clay
terrafirmacraft:Clay:10, Clay
terrafirmacraft:Clay:11, Clay
terrafirmacraft:Clay:12, Clay
terrafirmacraft:Clay:13, Clay
terrafirmacraft:Clay:14, Clay
terrafirmacraft:Clay:15, Clay
terrafirmacraft:Clay2:0, Clay
terrafirmacraft:Clay2:1, Clay
terrafirmacraft:Clay2:2, Clay
terrafirmacraft:Clay2:3, Clay
terrafirmacraft:Clay2:4, Clay
terrafirmacraft:Grass:0, Grass
terrafirmacraft:Grass:1, Grass
terrafirmacraft:Grass:2, Grass
terrafirmacraft:Grass:3, Grass
terrafirmacraft:Grass:4, Grass
terrafirmacraft:Grass:5, Grass
terrafirmacraft:Grass:6, Grass
terrafirmacraft:Grass:7, Grass
terrafirmacraft:Grass:8, Grass
terrafirmacraft:Grass:9, Grass
terrafirmacraft:Grass:10, Grass
terrafirmacraft:Grass:11, Grass
terrafirmacraft:Grass:12, Grass
terrafirmacraft:Grass:13, Grass
terrafirmacraft:Grass:14, Grass
terrafirmacraft:Grass:15, Grass
terrafirmacraft:Grass2:0, Grass
terrafirmacraft:Grass2:1, Grass
terrafirmacraft:Grass2:2, Grass
terrafirmacraft:Grass2:3, Grass
terrafirmacraft:Grass2:4, Grass
terrafirmacraft:ClayGrass:0, Clay Grass
terrafirmacraft:ClayGrass:1, Clay Grass
terrafirmacraft:ClayGrass:2, Clay Grass
terrafirmacraft:ClayGrass:3, Clay Grass
terrafirmacraft:ClayGrass:4, Clay Grass
terrafirmacraft:ClayGrass:5, Clay Grass
terrafirmacraft:ClayGrass:6, Clay Grass
terrafirmacraft:ClayGrass:7, Clay Grass
terrafirmacraft:ClayGrass:8, Clay Grass
terrafirmacraft:ClayGrass:9, Clay Grass
terrafirmacraft:ClayGrass:10, Clay Grass
terrafirmacraft:ClayGrass:11, Clay Grass
terrafirmacraft:ClayGrass:12, Clay Grass
terrafirmacraft:ClayGrass:13, Clay Grass
terrafirmacraft:ClayGrass:14, Clay Grass
terrafirmacraft:ClayGrass:15, Clay Grass
terrafirmacraft:ClayGrass2:0, Clay Grass
terrafirmacraft:ClayGrass2:1, Clay Grass
terrafirmacraft:ClayGrass2:2, Clay Grass
terrafirmacraft:ClayGrass2:3, Clay Grass
terrafirmacraft:ClayGrass2:4, Clay Grass
terrafirmacraft:PeatGrass:0, Peat Grass
terrafirmacraft:Peat:0, Peat
terrafirmacraft:DryGrass:0, Dry Grass
terrafirmacraft:DryGrass:1, Dry Grass
terrafirmacraft:DryGrass:2, Dry Grass
terrafirmacraft:DryGrass:3, Dry Grass
terrafirmacraft:DryGrass:4, Dry Grass
terrafirmacraft:DryGrass:5, Dry Grass
terrafirmacraft:DryGrass:6, Dry Grass
terrafirmacraft:DryGrass:7, Dry Grass
terrafirmacraft:DryGrass:8, Dry Grass
terrafirmacraft:DryGrass:9, Dry Grass
terrafirmacraft:DryGrass:10, Dry Grass
terrafirmacraft:DryGrass:11, Dry Grass
terrafirmacraft:DryGrass:12, Dry Grass
terrafirmacraft:DryGrass:13, Dry Grass
terrafirmacraft:DryGrass:14, Dry Grass
terrafirmacraft:DryGrass:15, Dry Grass
terrafirmacraft:DryGrass2:0, Dry Grass
terrafirmacraft:DryGrass2:1, Dry Grass
terrafirmacraft:DryGrass2:2, Dry Grass
terrafirmacraft:DryGrass2:3, Dry Grass
terrafirmacraft:DryGrass2:4, Dry Grass
terrafirmacraft:TallGrass:0, Tall Grass
terrafirmacraft:TallGrass:1, Fern
terrafirmacraft:TallGrass:2, Short Grass
terrafirmacraft:LooseRock, Debris
terrafirmacraft:LogPile, Log Pile
terrafirmacraft:Charcoal, Charcoal
terrafirmacraft:Detailed, Detailed
terrafirmacraft:tilledSoil:0, Farmland
terrafirmacraft:tilledSoil:1, Farmland
terrafirmacraft:tilledSoil:2, Farmland
terrafirmacraft:tilledSoil:3, Farmland
terrafirmacraft:tilledSoil:4, Farmland
terrafirmacraft:tilledSoil:5, Farmland
terrafirmacraft:tilledSoil:6, Farmland
terrafirmacraft:tilledSoil:7, Farmland
terrafirmacraft:tilledSoil:8, Farmland
terrafirmacraft:tilledSoil:9, Farmland
terrafirmacraft:tilledSoil:10, Farmland
terrafirmacraft:tilledSoil:11, Farmland
terrafirmacraft:tilledSoil:12, Farmland
terrafirmacraft:tilledSoil:13, Farmland
terrafirmacraft:tilledSoil:14, Farmland
terrafirmacraft:tilledSoil:15, Farmland
terrafirmacraft:tilledSoil2:0, Farmland
terrafirmacraft:tilledSoil2:1, Farmland
terrafirmacraft:tilledSoil2:2, Farmland
terrafirmacraft:tilledSoil2:3, Farmland
terrafirmacraft:tilledSoil2:4, Farmland
terrafirmacraft:WoodSupportV:0, Oak Support Beam
terrafirmacraft:WoodSupportV:1, Aspen Support Beam
terrafirmacraft:WoodSupportV:2, Birch Support Beam
terrafirmacraft:WoodSupportV:3, Chestnut Support Beam
terrafirmacraft:WoodSupportV:4, Douglas Fir Support Beam
terrafirmacraft:WoodSupportV:5, Hickory Support Beam
terrafirmacraft:WoodSupportV:6, Maple Support Beam
terrafirmacraft:WoodSupportV:7, Ash Support Beam
terrafirmacraft:WoodSupportV:8, Pine Support Beam
terrafirmacraft:WoodSupportV:9, Sequoia Support Beam
terrafirmacraft:WoodSupportV:10, Spruce Support Beam
terrafirmacraft:WoodSupportV:11, Sycamore Support Beam
terrafirmacraft:WoodSupportV:12, White Cedar Support Beam
terrafirmacraft:WoodSupportV:13, White Elm Support Beam
terrafirmacraft:WoodSupportV:14, Willow Support Beam
terrafirmacraft:WoodSupportV:15, Kapok Support Beam
terrafirmacraft:WoodSupportV2:0, Acacia Support Beam
terrafirmacraft:Sulfur, Sulfur
terrafirmacraft:log:0, Oak Log
terrafirmacraft:log:1, Aspen Log
terrafirmacraft:log:2, Birch Log
terrafirmacraft:log:3, Chestnut Log
terrafirmacraft:log:4, Douglas Fir Log
terrafirmacraft:log:5, Hickory Log
terrafirmacraft:log:6, Maple Log
terrafirmacraft:log:7, Ash Log
terrafirmacraft:log:8, Pine Log
terrafirmacraft:log:9, Sequoia Log
terrafirmacraft:log:10, Spruce Log
terrafirmacraft:log:11, Sycamore Log
terrafirmacraft:log:12, White Cedar Log
terrafirmacraft:log:13, White Elm Log
terrafirmacraft:log:14, Willow Log
terrafirmacraft:log:15, Kapok Log
terrafirmacraft:log2:0, Acacia Log
terrafirmacraft:sapling:0, Oak Sapling
terrafirmacraft:sapling:1, Aspen Sapling
terrafirmacraft:sapling:2, Birch Sapling
terrafirmacraft:sapling:3, Chestnut Sapling
terrafirmacraft:sapling:4, Douglas Fir Sapling
terrafirmacraft:sapling:5, Hickory Sapling
terrafirmacraft:sapling:6, Maple Sapling
terrafirmacraft:sapling:7, Ash Sapling
terrafirmacraft:sapling:8, Pine Sapling
terrafirmacraft:sapling:9, Sequoia Sapling
terrafirmacraft:sapling:10, Spruce Sapling
terrafirmacraft:sapling:11, Sycamore Sapling
terrafirmacraft:sapling:12, White Cedar Sapling
terrafirmacraft:sapling:13, White Elm Sapling
terrafirmacraft:sapling:14, Willow Sapling
terrafirmacraft:sapling:15, Kapok Sapling
terrafirmacraft:sapling2:0, Acacia Sapling
terrafirmacraft:planks:0, Oak Planks
terrafirmacraft:planks:1, Aspen Planks
terrafirmacraft:planks:2, Birch Planks
terrafirmacraft:planks:3, Chestnut Planks
terrafirmacraft:planks:4, Douglas Fir Planks
terrafirmacraft:planks:5, Hickory Planks
terrafirmacraft:planks:6, Maple Planks
terrafirmacraft:planks:7, Ash Planks
terrafirmacraft:planks:8, Pine Planks
terrafirmacraft:planks:9, Sequoia Planks
terrafirmacraft:planks:10, Spruce Planks
terrafirmacraft:planks:11, Sycamore Planks
terrafirmacraft:planks:12, White Cedar Planks
terrafirmacraft:planks:13, White Elm Planks
terrafirmacraft:planks:14, Willow Planks
terrafirmacraft:planks:15, Kapok Planks
terrafirmacraft:planks2:0, Acacia Planks
terrafirmacraft:Firepit, Firepit
terrafirmacraft:Bellows:0, Bellows
terrafirmacraft:Anvil:1, Copper Anvil
terrafirmacraft:Anvil:2, Bronze Anvil
terrafirmacraft:Anvil:3, Wrought Iron Anvil
terrafirmacraft:Anvil:4, Steel Anvil
terrafirmacraft:Anvil:5, Black Steel Anvil
terrafirmacraft:Anvil:6, Blue Steel Anvil
terrafirmacraft:Anvil:7, Red Steel Anvil
terrafirmacraft:Anvil2:0, Rose Gold Anvil
terrafirmacraft:Anvil2:1, Bismuth Bronze Anvil
terrafirmacraft:Anvil2:2, Black Bronze Anvil
terrafirmacraft:Forge, Forge
terrafirmacraft:Molten, Molten Ore
terrafirmacraft:Bloomery:0, Blast Furnace
terrafirmacraft:EarlyBloomery:0, Bloomery
terrafirmacraft:Sluice, Sluice
terrafirmacraft:Bloom, Iron Bloom
terrafirmacraft:fruitTreeWood, Fruit Tree
terrafirmacraft:fruitTreeLeaves, Fruit Tree Leaves
terrafirmacraft:fruitTreeLeaves2, Fruit Tree Leaves
terrafirmacraft:stoneStairs, Stair
terrafirmacraft:stoneSlabs, Slab
terrafirmacraft:stoneStalac, Stalactite
terrafirmacraft:WoodConstruct, Lumber
terrafirmacraft:WoodVert:0, Oak Log
terrafirmacraft:WoodVert:1, Aspen Log
terrafirmacraft:WoodVert:2, Birch Log
terrafirmacraft:WoodVert:3, Chestnut Log
terrafirmacraft:WoodVert:4, Douglas Fir Log
terrafirmacraft:WoodVert:5, Hickory Log
terrafirmacraft:WoodVert:6, Maple Log
terrafirmacraft:WoodVert:7, Ash Log
terrafirmacraft:WoodVert:8, Pine Log
